Learner g,Learner m,Learner r,Score,level,Coverage,CI Length,Bias,repetition
LGBM Regr.,LGBM Regr.,LGBM Regr.,IV-type,0.9,1.0,0.42322080435595166,0.05502520682223881,100
LGBM Regr.,LGBM Regr.,LGBM Regr.,IV-type,0.95,1.0,0.5042986928770715,0.05502520682223881,100
LGBM Regr.,LGBM Regr.,LGBM Regr.,partialling out,0.9,1.0,0.45789272412430937,0.05474917311809151,100
LGBM Regr.,LGBM Regr.,LGBM Regr.,partialling out,0.95,1.0,0.5456128334834858,0.05474917311809151,100
LGBM Regr.,LGBM Regr.,Linear,IV-type,0.9,1.0,0.4245720776849353,0.05585333050555091,100
LGBM Regr.,LGBM Regr.,Linear,IV-type,0.95,1.0,0.5059088343599865,0.05585333050555091,100
LGBM Regr.,LGBM Regr.,Linear,partialling out,0.9,1.0,0.6471105789981246,0.08101181693016966,100
LGBM Regr.,LGBM Regr.,Linear,partialling out,0.95,1.0,0.7710798140755198,0.08101181693016966,100
LGBM Regr.,Linear,LGBM Regr.,IV-type,0.9,1.0,0.5847004330609358,0.0626680944972603,100
LGBM Regr.,Linear,LGBM Regr.,IV-type,0.95,1.0,0.6967135383762733,0.0626680944972603,100
LGBM Regr.,Linear,LGBM Regr.,partialling out,0.9,1.0,0.5399911674604612,0.060866688289942884,100
LGBM Regr.,Linear,LGBM Regr.,partialling out,0.95,1.0,0.6434391625191498,0.060866688289942884,100
LGBM Regr.,Linear,Linear,IV-type,0.9,1.0,0.593371740534821,0.06478736649600977,100
LGBM Regr.,Linear,Linear,IV-type,0.95,1.0,0.7070460385265676,0.06478736649600977,100
LGBM Regr.,Linear,Linear,partialling out,0.9,0.69,0.5271391182504821,0.2376418336920005,100
LGBM Regr.,Linear,Linear,partialling out,0.95,0.88,0.6281250013279309,0.2376418336920005,100
Linear,LGBM Regr.,LGBM Regr.,IV-type,0.9,1.0,0.47409835766066183,0.05835376153626596,100
Linear,LGBM Regr.,LGBM Regr.,IV-type,0.95,1.0,0.5649230368702594,0.05835376153626596,100
Linear,LGBM Regr.,LGBM Regr.,partialling out,0.9,1.0,0.6543663645540633,0.08577828317013339,100
Linear,LGBM Regr.,LGBM Regr.,partialling out,0.95,1.0,0.7797256158272191,0.08577828317013339,100
Linear,LGBM Regr.,Linear,IV-type,0.9,0.99,0.47082125522561435,0.0595117260926003,100
Linear,LGBM Regr.,Linear,IV-type,0.95,1.0,0.5610181284692329,0.0595117260926003,100
Linear,LGBM Regr.,Linear,partialling out,0.9,1.0,0.5104380855975511,0.057746535233403416,100
Linear,LGBM Regr.,Linear,partialling out,0.95,1.0,0.6082244934845435,0.057746535233403416,100
Linear,Linear,LGBM Regr.,IV-type,0.9,1.0,0.7569339180271816,0.15491195390244203,100
Linear,Linear,LGBM Regr.,IV-type,0.95,1.0,0.901942393962231,0.15491195390244203,100
Linear,Linear,LGBM Regr.,partialling out,0.9,0.72,0.7745807707462609,0.3029955299272883,100
Linear,Linear,LGBM Regr.,partialling out,0.95,0.91,0.9229699159271985,0.3029955299272883,100
Linear,Linear,Linear,IV-type,0.9,1.0,0.6439566155604498,0.06284925122736218,100
Linear,Linear,Linear,IV-type,0.95,1.0,0.7673216348399269,0.06284925122736218,100
Linear,Linear,Linear,partialling out,0.9,1.0,0.43112762385271425,0.06112463778342665,100
Linear,Linear,Linear,partialling out,0.95,1.0,0.5137202494168079,0.06112463778342665,100
