Learner g,Learner m,score,level,Coverage,CI Length,Bias,repetition
Lasso,Lasso,IV-type,0.9,0.883,0.13941401231855352,0.03504660245104947,1000
Lasso,Lasso,IV-type,0.95,0.943,0.16612204186886587,0.03504660245104947,1000
Lasso,Lasso,partialling out,0.9,0.91,0.14647221367308724,0.034787519064348314,1000
Lasso,Lasso,partialling out,0.95,0.958,0.17453240752319898,0.034787519064348314,1000
Lasso,Random Forest,IV-type,0.9,0.888,0.1467703880469185,0.03595239989546504,1000
Lasso,Random Forest,IV-type,0.95,0.944,0.17488770420385572,0.03595239989546504,1000
Lasso,Random Forest,partialling out,0.9,0.823,0.14308562799383243,0.04228326973640707,1000
Lasso,Random Forest,partialling out,0.95,0.888,0.17049704179026107,0.04228326973640707,1000
Random Forest,Lasso,IV-type,0.9,0.886,0.1418227213108756,0.0355104410867498,1000
Random Forest,Lasso,IV-type,0.95,0.945,0.16899219566056753,0.0355104410867498,1000
Random Forest,Lasso,partialling out,0.9,0.895,0.15192846324417283,0.036516890085877655,1000
Random Forest,Lasso,partialling out,0.95,0.953,0.18103392989258446,0.036516890085877655,1000
Random Forest,Random Forest,IV-type,0.9,0.89,0.14953203926265263,0.03728406461503118,1000
Random Forest,Random Forest,IV-type,0.95,0.943,0.17817841459413641,0.03728406461503118,1000
Random Forest,Random Forest,partialling out,0.9,0.876,0.14638624006239057,0.036108064721339206,1000
Random Forest,Random Forest,partialling out,0.95,0.948,0.17442996364744898,0.036108064721339206,1000
